"qty_biological_replicates","tool","accuracy","precision","recall","specificity","SDND"
4,"DESeq2",10,0.833128770271329,0.161332980692938,0.159310524941238,0.907990947075209
5,"DESeq2",10,0.847883425169091,0.186163522012579,0.154609558631496,0.924907149489322
6,"DESeq2",10,0.863813229571984,0.236902050113895,0.162966832071037,0.941678272980501
7,"DESeq2",10,0.876661530828089,0.331447963800905,0.229563854792374,0.948555013927577
8,"DESeq2",10,0.875669182357089,0.337517433751743,0.252807521546096,0.944870009285051
9,"DESeq2",10,0.875225236988484,0.343760289759631,0.272656045965004,0.942171541318477
10,"DESeq2",10,0.874206774084036,0.350484261501211,0.302428832593366,0.937732126276695
15,"DESeq2",10,0.866059070848458,0.331344058121432,0.333507443196657,0.925226323119777
2,"edgeR",10,0.880578695845194,0.207086614173228,0.0686863410812222,0.970781104921077
3,"edgeR",10,0.893087509466482,0.425098925946863,0.196395925829198,0.970490947075209
4,"edgeR",10,0.891990703261693,0.413325804630152,0.191172629929485,0.969852599814299
5,"edgeR",10,0.896273470347061,0.464551313832424,0.244711412901541,0.96866295264624
6,"edgeR",10,0.899433316794192,0.49496336996337,0.282319143379472,0.967995589600743
7,"edgeR",10,0.900817381766903,0.50687971593431,0.298250195873596,0.967763463324048
8,"edgeR",10,0.904551745749876,0.537021276595745,0.329589971271873,0.968430826369545
9,"edgeR",10,0.906379756091192,0.551003344481605,0.344215199791068,0.96883704735376
10,"edgeR",10,0.910610294309665,0.580047318611987,0.38417341342387,0.969098189415042
15,"edgeR",10,0.912281618050296,0.583215297450425,0.430138417341342,0.965848421541318
3,"DEGRE-BON",10,0.903115451910271,0.527584608252202,0.297205536693654,0.970432915506035
2,"DEGRE-BON",10,0.901444128169639,0.510373443983402,0.353355967615565,0.962337511606314
4,"DEGRE-BON",10,0.894210430104719,0.438674033149171,0.207364847218595,0.970519962859796
5,"DEGRE-BON",10,0.891102812524482,0.402959590210586,0.18490467484983,0.969562441968431
6,"DEGRE-BON",10,0.889170344449377,0.384529771841959,0.180464873335074,0.967908542246982
7,"DEGRE-BON",10,0.88478311963022,0.347142108023073,0.172891094280491,0.963875348189415
8,"DEGRE-BON",10,0.881257671114825,0.332867783985102,0.18673282841473,0.958420380687094
9,"DEGRE-BON",10,0.878620113336641,0.319524019391803,0.189344476364586,0.955199628597957
10,"DEGRE-BON",10,0.879690805107983,0.325247079964061,0.1890833115696,0.956418291550604
15,"DEGRE-BON",10,0.879064058705246,0.32396839332748,0.192739618699399,0.955315691736305
2,"DEGRE-BH",10,0.87496409265401,0.391736283585459,0.453120919300078,0.92183147632312
3,"DEGRE-BH",10,0.885932154701904,0.41948013146101,0.366675372159833,0.943622330547818
4,"DEGRE-BH",10,0.878620113336641,0.359616043880699,0.273961869939932,0.945798514391829
5,"DEGRE-BH",10,0.875486381322957,0.329829648423342,0.237659963436929,0.946349814298979
6,"DEGRE-BH",10,0.87198704724101,0.314424074714632,0.237398798641943,0.942490714948932
7,"DEGRE-BH",10,0.86326482646959,0.28413623810985,0.241838600156699,0.93230617455896
8,"DEGRE-BH",10,0.85691901914188,0.268128161888702,0.249151214416297,0.924442896935933
9,"DEGRE-BH",10,0.854882093332985,0.266612641815235,0.257769652650823,0.921222144846797
10,"DEGRE-BH",10,0.852531794322722,0.25965097831835,0.256463828675895,0.918755803156917
15,"DEGRE-BH",10,0.846891076698091,0.251708984375,0.269260903630191,0.911066620241411
2,"DESeq2",10,0.674091870576868,0.0897277814663758,0.247061896056412,0.721535515320334
3,"DESeq2",10,0.800720758363147,0.108525535420099,0.13763384695743,0.874390668523677
4,"DESeq2",10,0.827696968114277,0.133439237490071,0.131627056672761,0.905031337047354
5,"DESeq2",10,0.844279633353354,0.153120936280884,0.123008618438235,0.924413881151346
6,"DESeq2",10,0.860340009923485,0.198969480776853,0.131104727082789,0.941359099350046
7,"DESeq2",10,0.874676833886089,0.308451816745656,0.203969704883782,0.949193361188487
8,"DESeq2",10,0.877262162797378,0.326286398085361,0.21363280229825,0.950992339832869
