"ID","log2FC","P.value","Q.value","averagelogCPM"
"PRKAB2",-0.25818360246552,1.24276929558926e-07,0.000215570762012913,6.70213719252832
"PTPN2",-0.238239500844832,0.000176505471170051,0.03233778292081,5.8223457941763
"PUS3",-0.493844402577275,0.000102046102107815,0.0226934831687456,3.91403861339668
"RAB3D",-0.258311875673303,0.000177106501641701,0.03233778292081,5.63650106175718
"RAD51D",-0.272416245393063,0.000281660632450323,0.0448228011970945,5.34630038387249
"RBP1",0.43989062789735,2.38766170796689e-05,0.00845232244620279,4.36251067079114
"RC3H1",-0.153427899683303,4.89706913221598e-06,0.00283148537224728,7.89658526177873
"RNASEH2C",-0.356327226393561,7.77370643900784e-06,0.00364439761867649,5.16537502649261
"RP11-1217F2.1",0.625326385321659,3.92422076375226e-05,0.0123762787941903,3.17278376716582
"RP11-174G6.5",-0.683795922158237,2.4939827409838e-10,8.652124925021e-07,4.2551297133723
"RP11-274H2.5",-0.872990040812553,4.47860885608196e-05,0.0138724909317139,2.24826920100699
"RP11-386M24.6",-0.889061765503122,0.000113252239456694,0.0244110624301645,1.99785313034357
"RP11-418J17.1",-0.361528919825024,0.000107916976613194,0.0236952895738286,4.831251493894
"RP11-474D14.2",-0.557031894329309,8.94401376002618e-05,0.0206857150241886,3.43263174748735
"RP11-799B12.4",-0.971100931201899,0.000382187705839561,0.0499928620081489,1.33610809356902
"RP5-1112D6.8",-0.459726410542787,0.000365380966921944,0.0487530634786772,3.68199885769062
"RPS18",0.221436784694739,0.000297161948236508,0.0458875846211674,5.65243209875419
"SCHIP1",-0.289470354062579,0.000117536328192798,0.0248577237907293,5.15286373482064
"SLC12A3",-2.14531808695801,0.000118943334176786,0.0248577237907293,0.959351207750818
"SLC16A14",0.21443521373985,0.000363908545635723,0.0487530634786772,5.77993457748453
"SLC5A3",-1.05242067613271,8.50254794364613e-05,0.0199304319770927,8.41205070866366
"SLC9C2",-0.427404634491722,0.000333148429169475,0.0476216000497195,4.09414850253273
"SMARCA2",0.0714905384907379,0.00033493803793761,0.0476216000497195,9.10451753546527
"SMEK1",-0.14700091878298,0.000356964457910872,0.048723611716492,7.39949679943729
"SNHG3",-0.489343008316181,3.62315233088499e-05,0.011638370431765,3.98250853084695
"SNHG7",-0.594724501396191,1.52045401442352e-05,0.00561144581578519,3.63353606368657
"SNRPA1",-0.361664626249468,0.000331261535598698,0.0476216000497195,4.43649540928905
"SPAG7",0.258169131962023,2.87346933383924e-05,0.0095852305893799,5.873131504803
"SPR",-1.04869666037543,0.000353814706148854,0.048723611716492,3.55741655506672
"SQRDL",-0.850113680467522,1.26150579978299e-05,0.00486268435623017,2.5330509431742
"ST3GAL6",-0.339061896305735,2.30356288622135e-06,0.00187850500498561,5.30417434173014
"STAC",1.19886111773021,3.68558467434759e-07,0.000491770398163333,1.88542878757526
"STARD10",-0.372725339093164,4.0485216111893e-06,0.00260095021732184,5.02069781887956
"SUPT20H",-0.197051749492332,5.63431908024093e-05,0.0155867400485226,6.59870161589358
"TBC1D8",-0.341754923456867,2.60050933771846e-05,0.00902168699441288,5.12743311020295
"TET1",0.205029043631706,6.44437918000237e-05,0.0166842091427345,6.29578397994491
"TIFA",-0.548429908997117,0.000226197479098746,0.039914419021256,3.38695096476606
"TNFSF13B",-0.752669951897777,2.1471067178651e-07,0.0003103642760674,3.37480041473538
"TRIM13",-0.209161679965495,0.000340540494076094,0.0480245155304384,6.19653528101516
"WNT5A",-0.461087962954576,0.000138073063879323,0.0278490158843109,3.81734863582193
"ZFHX4-AS1",0.671745368823013,4.90453770796974e-05,0.0146679501866281,2.95925516804451
"ZFYVE20",0.117687836722477,5.01561501267781e-05,0.0147459081372728,7.87810445813657
"ZNF765",-0.32460463036923,0.000383318958093151,0.0499928620081489,4.91188963356328
